route,section,seq,waypoint_name,detail,coord_dms,latitude,longitude,page,effective_date,source_file
A305,conventional_international,1,DORVO (FIR BDRY),,344258S 0573102W,-34.71611111,-57.51722222,1,2025-07-10,Enr3 (2)_0.pdf
A305,conventional_international,2,TOKAM,,344653S 0564256W,-34.78138889,-56.71555556,1,2025-07-10,Enr3 (2)_0.pdf
A305,conventional_international,3,CARRASCO,VOR/DME (CRR),344957.8S 0560130.5W,-34.83272222,-56.02513889,1,2025-07-10,Enr3 (2)_0.pdf
A305,conventional_international,4,CURBELO,VOR/DME (LDS),345129.9S 0550530.2W,-34.85830556,-55.09172222,1,2025-07-10,Enr3 (2)_0.pdf
A305,conventional_international,5,LITOS,,342732S 0544334W,-34.45888889,-54.72611111,1,2025-07-10,Enr3 (2)_0.pdf
A305,conventional_international,6,BOLAT,,333949S 0540039W,-33.66361111,-54.01083333,1,2025-07-10,Enr3 (2)_0.pdf
A305,conventional_international,7,UGELO (FIR BDRY),,324042S 0530850W,-32.67833333,-53.14722222,1,2025-07-10,Enr3 (2)_0.pdf
A306,conventional_international,1,CURBELO,VOR/DME (LDS),345129.9S 0550530.2W,-34.85830556,-55.09172222,2,2025-07-10,Enr3 (2)_0.pdf
A306,conventional_international,2,LUCIO,,350318S 0555218W,-35.055,-55.87166667,2,2025-07-10,Enr3 (2)_0.pdf
A306,conventional_international,3,DAGUS,,350217S 0560725W,-35.03805556,-56.12361111,2,2025-07-10,Enr3 (2)_0.pdf
A306,conventional_international,4,UGIMI (FIR BDRY),,345858S 0565302W,-34.98277778,-56.88388889,2,2025-07-10,Enr3 (2)_0.pdf
A309,conventional_international,1,CARRASCO,VOR/DME (CRR),344957.8S 0560130.5W,-34.83272222,-56.02513889,3,2025-07-10,Enr3 (2)_0.pdf
A309,conventional_international,2,SOLIS,,342057S 0552529W,-34.34916667,-55.42472222,3,2025-07-10,Enr3 (2)_0.pdf
A309,conventional_international,3,TIDRU,,340057S 0550102W,-34.01583333,-55.01722222,3,2025-07-10,Enr3 (2)_0.pdf
A309,conventional_international,4,OGMAR,,331735S 0540856W,-33.29305556,-54.14888889,3,2025-07-10,Enr3 (2)_0.pdf
A309,conventional_international,5,UGURA (FIR BDRY),,323525S 0531922W,-32.59027778,-53.32277778,3,2025-07-10,Enr3 (2)_0.pdf
